time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.04127,-0.1242,0.33,9.404,0.37
0.06208,0.13,0.3953,9.6225,0.43
0.062256,-0.3173,0.2383,9.4276,0.4
0.083982,-0.7557,0.1321,9.3937,0.77
0.084187,-0.9732,0.1345,9.5315,0.98
0.09658,-1.0446,0.1374,9.6573,1.07
0.113449,-1.233,0.2466,9.8043,1.29
0.13117,-1.2887,0.3005,9.7807,1.35
0.13169,-1.3358,0.3256,9.7427,1.4
0.147375,-1.3631,0.3299,9.6898,1.42
0.148687,-1.3709,0.3206,9.5674,1.41
0.163675,-1.3263,0.2992,9.4726,1.36
0.169189,-1.2848,0.2511,9.3927,1.31
0.180832,-1.2474,0.1632,9.3568,1.27
0.197289,-1.212,0.0351,9.3915,1.22
0.19881,-1.0791,-0.0831,9.4272,1.08
0.213068,-0.8572,-0.1325,9.5254,0.87
0.219202,-0.5962,-0.1421,9.6272,0.63
0.230697,-0.1788,-0.0459,9.7741,0.33
0.248091,0.2866,0.1765,9.9128,0.53
0.248883,0.6527,0.4716,10.0053,0.95
0.263726,0.8813,0.7676,10.007,1.27
0.268749,0.9657,1.0482,9.9343,1.49
0.281203,0.9022,1.2446,9.771,1.56
0.296869,0.7372,1.3679,9.4954,1.55
0.298818,0.4856,1.3156,9.2471,1.42
0.315446,0.1124,1.1058,9.1061,1.18
0.318963,-0.227,0.8636,9.1644,0.95
0.332022,-0.4434,0.6343,9.2941,0.8
0.338868,-0.5846,0.4097,9.4457,0.72
0.350448,-0.6684,0.1889,9.5642,0.7
0.36433,-0.729,0.0001,9.7355,0.77
0.369292,-0.779,-0.1509,9.8637,0.87
0.381167,-0.7293,-0.226,9.9493,0.89
0.388919,-0.7229,-0.2259,10.0013,0.91
0.398911,-0.829,-0.2258,9.9153,0.95
0.413487,-0.985,-0.218,9.7863,1.05
0.418871,-1.2544,-0.1197,9.6232,1.27
0.431823,-1.5898,-0.0383,9.4852,1.59
0.43897,-1.9146,0.0446,9.3927,1.92
0.44876,-2.147,0.1248,9.3476,2.16
0.465879,-2.1538,0.2187,9.3805,2.17
0.468658,-1.8765,0.3723,9.3696,1.92
0.482234,-1.432,0.5634,9.3168,1.55
0.489032,-0.9997,0.6748,9.3107,1.22
0.498999,-0.5093,0.7546,9.3092,0.93
0.516374,-0.0047,0.7548,9.2778,0.79
0.52732,0.292,0.6327,9.1608,0.77
0.534781,0.4448,0.4404,9.0956,0.75
0.538026,0.5174,0.1689,9.0544,0.7
0.548115,0.6343,-0.0548,9.0098,0.8
0.568579,0.7448,-0.121,8.9777,0.92
0.568879,0.6643,0.013,8.7445,1.01
0.581799,0.5738,0.3933,8.4556,1.25
0.588277,0.236,0.9162,8.4287,1.43
0.599548,-0.3584,1.286,8.1887,1.87
0.617129,-1.2125,1.2836,7.5985,2.59
0.618291,-2.0735,0.9961,7.111800000000001,3.32
0.633039,-2.4911,0.787,7.0758,3.56
0.638422,-2.4362,0.665,7.3586,3.31
0.651504,-2.185,0.5689,7.9407,2.74
0.66758,-1.8879,0.548,8.4262,2.24
0.668379,-1.7979,0.5684,8.6067,2.09
0.683916,-1.9182,0.6743,8.6501,2.2
0.688486,-1.9763,0.8245,8.6216,2.31
0.700486,-1.7762,0.903,8.3796,2.29
0.718078,-1.2836,0.8432,7.8834,2.23
0.718304,-0.6081,0.7015,7.3895,2.31
0.734554,-0.0075,0.5473,7.0666,2.49
0.738473,0.4844,0.4637,6.9544999999999995,2.63
0.750552,0.9234,0.4042,6.9925999999999995,2.7
0.758426,1.2231,0.3656,7.0863,2.73
0.768368,1.5264,0.2656,7.1370000000000005,2.83
0.785236,1.758,0.1924,7.2569,2.86
0.787788,1.8819,0.1909,7.4908,2.76
0.803061,1.8932,0.2507,7.7087,2.62
0.808272,1.6485,0.3608,7.9175,2.31
0.818533,1.1946,0.6311,8.1832,1.89
0.835082,0.6073,1.0351,8.3966,1.63
0.838651,-0.1051,1.4321,8.4984,1.75
0.85234,-0.7242,1.7325,8.4218,2.17
0.858332,-1.2807,1.8878,8.2472,2.6
0.867939,-1.5868,1.8902,8.011,2.88
0.885732,-1.6462,1.667,7.8814,2.85
0.888131,-1.5008,1.2897,7.8126999999999995,2.6
0.902725,-1.312,0.9712,7.8701,2.31
0.908381,-0.953,0.728,7.9831,1.93
0.919002,-0.5528,0.5217,8.103,1.59
0.936916,-0.1801,0.3945,8.1632,1.41
0.938119,0.0862,0.2744,8.1875,1.34
0.951959,0.1923,0.1813,8.1541,1.37
0.958323,0.2321,0.099,8.0953,1.43
0.969669,0.2288,0.041,8.0159,1.5
0.986903,0.2098,0.0112,7.9002,1.61
0.987806,0.271,-0.0889,7.7183,1.8
1.004809,0.2548,-0.114,7.7195,1.8
1.008107,0.2865,-0.0633,7.8779,1.65
1.019679,0.2954,0.0142,8.092,1.44
1.036996,0.2573,0.1286,8.4009,1.14
1.038453,0.2494,0.1882,8.5198,1.03
1.053075,0.211,0.1709,8.5567,0.98
1.058157,0.1811,0.1365,8.5772,0.95
1.070326,0.1576,0.0506,8.5764,0.94
1.077938,0.0481,-0.1206,8.5915,0.92
1.08782,-0.0497,-0.243,8.5622,0.97
1.10405,-0.0828,-0.2811,8.5047,1.04
1.107658,-0.0894,-0.2682,8.4162,1.12
1.120839,-0.1585,-0.2175,8.4804,1.05
1.140877,-0.2053,-0.1436,8.5931,0.94
1.141205,-0.1958,-0.1758,8.6061,0.93
1.15536,-0.0996,-0.3939,8.5969,0.99
1.157484,-0.0898,-0.7775,8.486699999999999,1.28
1.170971,-0.1417,-1.3044,8.2995,1.78
1.178279,-0.2462,-1.8191,8.104,2.31
1.188341,-0.4062,-2.1711,8.1122,2.61
1.205916,-0.501,-2.2165,8.3255,2.56
1.207175,-0.5602,-1.8925,8.5341,2.2
1.220406,-0.6863,-1.2854,8.6924,1.67
1.227937,-0.9617,-0.6354,8.7247,1.39
1.238204,-1.4866,0.0874,8.6237,1.73
1.255731,-1.9763,0.8483,8.2228,2.5
1.257551,-1.9792,1.3691,7.3995,3.19
1.272109,-1.2173,1.3059,6.498,3.49
1.277927,-0.0916,0.7543,6.0819,3.5
1.287473,0.9466,0.1134,6.5198,3.13
1.305594,1.7617,-0.3935,7.4882,2.7
1.307475,2.3239,-0.7905,8.2652,2.75
1.322175,2.6687,-0.9953,8.7908,2.94
1.327739,2.661,-1.0511,9.1001,2.89
1.339163,2.3556,-1.1264,9.0501,2.65
1.356962,1.7495,-1.2341,8.9601,2.21
1.357289,0.8352,-1.3101,8.7495,1.73
1.369009,-0.2487,-1.3891,8.693200000000001,1.63
1.377822,-1.5134,-1.4732,8.869,2.2
1.388118,-2.6938,-1.6104,9.1442,3.16
1.405668,-3.5116,-1.7762,9.3394,3.94
1.407043,-4.0897,-1.9318,9.45,4.52
1.42277,-4.2188,-1.9591,9.6305,4.65
1.427422,-3.9702,-1.8553,9.6992,4.39
1.43814,-3.5514,-1.7451,9.6896,3.96
1.446969,-3.0004,-1.7497,9.8067,3.49
1.457036,-2.4017,-1.7439,10.0921,3.03
1.471875,-2.0508,-1.6783,10.2464,2.75
1.477049,-1.698,-1.4912,10.2322,2.38
1.490007,-1.4074,-1.3668,10.1971,2.08
1.497558,-1.0821,-1.2839,10.1221,1.79
1.507476,-0.7632,-1.2392,10.0998,1.57
1.523335,-0.4849,-1.2851,9.9594,1.45
1.533145,-0.4657,-1.3194,9.6657,1.41
1.543907,-0.2809,-1.341,8.9278,1.48
1.546791,-0.3249,-1.3975,8.3507,1.84
1.55923,-0.4795,-1.3592,8.4243,1.8
1.574191,-0.9608,-0.8359,8.4827,1.63
1.577066,-1.6396,0.0793,8.9919,1.72
1.595158,-1.5158,1.1009,10.1889,2.0
1.599959,-0.7727,2.0864,11.0728,2.72
1.60747,-0.0216,2.7606,11.1724,3.23
1.622369,0.4911,2.842,10.7334,3.14
1.626826,0.7442,2.4644,10.0325,2.63
1.639747,0.422,1.8089,9.1188,1.9
1.64685,-0.2664,1.1756,8.4605,1.59
1.656902,-0.4949,0.6836,8.4086,1.38
1.672951,-0.554,0.4343,8.5976,1.14
1.676774,-0.419,0.4282,8.9835,0.79
1.690892,-0.2204,0.6457,9.5332,0.68
1.697082,-0.1637,1.0014,9.819,1.06
1.707698,-0.0605,1.4036,9.6698,1.42
1.724197,0.124,1.7781,9.2742,1.8
1.726497,0.1483,2.0499,8.8268,2.16
1.740818,0.2463,2.032,8.3361,2.35
1.747081,0.3455,1.6889,8.013300000000001,2.28
1.758584,0.1029,1.4043,7.9688,2.08
1.775122,0.0747,1.2526,8.1152,1.87
1.776441,0.2698,1.2434,8.6103,1.55
1.791272,0.6396,1.2697,9.1107,1.47
1.797026,0.7167,1.456,9.288,1.64
1.80886,0.7428,1.8566,9.7503,2.02
1.824769,0.4852,2.4585,10.4712,2.69
1.826287,-0.3023,2.7451,10.9876,3.14
1.842546,-1.6121,2.4223,10.9175,3.24
1.846736,-3.3807,2.4778,11.0988,4.49
1.859054,-5.0157,2.6503,10.9604,5.86
1.86692,-5.5854,1.9432,10.0669,5.94
1.876856,-4.9281,0.666,9.5888,4.97
1.893307,-4.3647,-0.2592,9.9131,4.39
1.896843,-3.5966,-0.5745,10.4058,3.75
1.908229,-3.039,-0.2605,11.0988,3.44
1.916764,-3.0317,0.4015,12.0437,3.98
1.926761,-3.1046,0.9712,12.8088,4.64
1.942357,-3.2677,1.6167,12.4528,4.69
1.946633,-3.1853,2.1117,11.7989,4.46
1.959895,-2.8843,2.5335,11.3241,4.25
1.966313,-2.2529,2.9819,11.0342,4.04
1.976983,-1.3133,2.9859,10.8724,3.54
1.99274,-0.09,2.6397,10.8367,2.96
1.996583,0.9704,2.2752,10.8371,2.81
2.010295,1.5697,1.8913,10.8976,2.83
2.016455,1.6735,1.4279,10.8762,2.59
2.026724,1.2418,0.9618,10.8382,2.06
2.042029,0.6063,0.5035,10.9777,1.67
2.046291,0.0984,0.0,11.174900000000001,1.68
2.060349,-0.0684,-0.5382,11.3896,1.97
2.06636,-0.1236,-0.9442,11.3788,2.11
2.076839,0.1566,-1.2316,11.0189,1.96
2.094112,0.6157,-1.4059,10.5365,1.85
2.096153,1.0482,-1.3721,9.9436,1.78
2.110482,1.1888,-1.0076,9.4457,1.56
2.116362,0.9929,-0.4501,9.1937,1.13
2.138852,0.5299,0.1622,9.0308,0.73
2.139234,0.0762,0.7361,9.0441,0.87
2.146716,-0.2661,0.9968,8.892900000000001,1.2
2.160303,-0.6164,0.9176,8.5019,1.49
2.16632,-0.9192,0.6312,8.1556,1.75
2.178501,-1.2453,0.2931,8.0711,1.92
2.194415,-1.415,-0.123,8.3277,1.84
2.195869,-1.5934,-0.395,8.8214,1.78
2.211166,-1.6233,-0.6617,9.4649,1.75
2.216381,-1.4138,-0.816,9.8899,1.68
2.228023,-1.3858,-0.8428,10.0333,1.71
2.236235,-1.4302,-0.7908,9.8018,1.66
2.246415,-1.4041,-0.6145,9.2483,1.55
2.263283,-1.5596,-0.1761,8.6145,1.8
2.265956,-1.7022,0.2539,8.3407,2.08
2.277816,-1.4732,0.7142,8.5992,1.87
2.28637,-0.7914,0.8728,9.3747,1.18
2.296562,-0.1621,0.8617,10.1607,1.1
2.31245,0.5145,0.6216,10.6309,1.39
2.315928,0.6926,0.2988,10.704,1.42
2.329778,0.4167,0.0207,10.4524,1.04
2.336284,-0.1381,-0.2057,10.5441,1.07
2.346107,-0.567,-0.4072,11.0628,1.71
2.363212,-0.583,-0.5658,11.4529,2.12
2.366172,-0.5399,-0.6302,11.543,2.21
2.379786,-0.3532,-0.5467,11.1558,1.78
2.386385,0.1132,-0.4754,10.5645,1.17
2.396155,0.1999,-0.1644,10.2146,0.76
2.413612,0.0398,0.03,9.804,0.31
2.415672,-0.373,0.2178,9.1047,0.59
2.429403,-0.4171,0.2342,8.652,0.97
2.43629,-0.3307,0.1743,8.6681,0.91
2.446903,-0.4001,-0.0001,8.8235,0.79
2.463752,-0.1435,-0.2471,8.9417,0.63
2.465848,0.1023,-0.5317,8.9667,0.76
2.479834,0.1809,-0.6421,9.2139,0.73
2.486429,0.3207,-0.6787,9.2218,0.8
2.497247,0.3236,-0.6711,8.9409,0.93
2.514142,0.3029,-0.4859,8.5735,1.09
2.515383,0.2853,-0.2207,8.5409,1.02
2.529655,0.4456,-0.0094,8.4479,1.14
2.53905,0.6279,0.0705,8.3743,1.29
2.546932,0.7007,0.0474,8.4816,1.24
2.562421,0.6417,-0.0451,8.5275,1.17
2.565429,0.6299,0.0433,8.588799999999999,1.11
2.580318,0.7216,0.0641,8.5241,1.22
2.585526,0.4768,0.1467,8.5712,1.05
2.595766,0.301,0.1819,8.8192,0.77
2.605412,0.3217,0.2682,8.8744,0.75
2.615373,0.5495,0.2665,9.0478,0.76
2.631055,0.7954,0.3747,9.3062,0.9
2.635249,1.0315,0.5064,9.319,1.16
2.648038,0.8886,0.7078,9.199,1.18
2.655972,0.7698,0.7092,9.2391,1.08
2.66583,0.6968,0.5061,9.2851,0.89
2.680848,0.8581,0.2178,9.1247,0.96
2.68544,1.1732,-0.0699,8.9684,1.29
2.698803,1.419,-0.1615,8.9838,1.52
2.706074,1.4047,-0.1581,9.0346,1.49
2.716084,1.2896,-0.0792,8.9652,1.4
2.732294,0.9903,-0.0369,8.9059,1.16
2.735525,0.7631,-0.121,8.9436,0.95
2.749294,0.65,-0.1746,8.9545,0.87
2.755774,0.7536,-0.3377,9.065,0.93
2.765877,0.7554,-0.4928,9.1201,0.98
2.783131,0.6936,-0.6157,9.0707,1.02
2.785372,0.6741,-0.6616,9.1015,1.03
2.799562,0.5449,-0.6395,9.1779,0.9
2.80579,0.4729,-0.6478,9.0485,0.92
2.816691,0.5033,-0.5912,8.9119,0.97
2.833094,0.6174,-0.5197,8.7451,1.11
2.835299,0.9364,-0.538,8.8539,1.26
2.850597,1.355,-0.5544,9.1056,1.52
2.857301,1.4932,-0.5528,9.094899999999999,1.64
2.86673,1.2795,-0.3957,9.0439,1.41
2.883523,0.9888,-0.3054,9.1957,1.08
2.885626,0.939,-0.407,9.4654,1.02
2.900456,0.8487,-0.491,9.5067,0.98
2.905606,0.6573,-0.5365,9.3099,0.87
2.915893,0.5286,-0.5326,9.0413,0.88
2.934152,0.4325,-0.4651,8.93,0.85
2.935359,0.1737,-0.3607,8.9936,0.65
2.951562,-0.3808,-0.2238,8.85,0.79
2.954946,-1.1357,-0.058,8.6233,1.44
2.967475,-1.6373,0.1085,8.7886,1.79
2.984793,-1.9713,0.2458,9.1597,2.02
2.985071,-2.2918,0.2643,9.4637,2.31
3.008151,-2.6589,0.2081,9.5507,2.67
3.008366,-2.8837,0.1172,9.4205,2.89
3.017872,-3.09,0.0476,9.5211,3.09
3.02556,-3.3798,-0.0427,9.6994,3.39
3.034934,-3.6328,-0.1616,9.9065,3.66
3.051064,-4.0731,-0.2205,10.1679,4.13
3.05491,-4.1665,-0.2765,10.1382,4.22
3.06806,-4.3231,-0.256,10.2174,4.39
3.075179,-4.496,-0.2726,10.3074,4.58
3.084926,-4.512,-0.35,10.0168,4.55
3.101147,-4.4527,-0.4161,9.897,4.49
3.105055,-4.2401,-0.465,9.9644,4.29
3.118662,-3.9023,-0.5649,9.9976,3.97
3.13758,-3.7462,-0.5832,10.3869,3.89
3.137795,-3.5823,-0.4459,10.4595,3.74
3.150529,-3.2705,-0.2226,10.1118,3.33
3.155015,-2.9655,0.0923,9.7599,2.98
3.167323,-2.5909,0.3851,9.3142,2.63
3.175217,-2.3005,0.5393,9.1036,2.4
3.185552,-2.2123,0.5413,9.176,2.3
3.202071,-2.2376,0.4476,9.5671,2.28
3.204937,-2.1744,0.2186,10.0356,2.25
3.218316,-1.9956,0.0176,9.9508,2.05
3.225102,-1.7281,0.0177,9.6263,1.73
3.236329,-1.3373,0.1729,9.2521,1.37
3.252474,-1.0558,0.355,9.2487,1.14
3.254707,-1.0206,0.474,9.4326,1.13
3.270121,-1.0909,0.4644,9.5742,1.19
3.2749,-1.3035,0.3948,9.7146,1.38
3.286894,-1.2219,0.3545,9.8663,1.32
3.302684,-1.3706,0.4181,9.8643,1.48
3.30485,-1.4291,0.5048,9.754,1.54
3.319434,-1.343,0.536,9.7164,1.46
3.324919,-1.3633,0.6201,9.8692,1.54
3.335581,-1.2728,0.7534,10.1917,1.63
3.354901,-1.0699,0.8096,10.4232,1.63
3.355146,-0.8191,0.8246,10.3383,1.43
3.371354,-0.7633,0.8963,10.0,1.28
3.374867,-0.7369,0.9943,9.65,1.25
3.387477,-0.7729,1.0289,9.5307,1.29
3.394846,-0.9168,1.0123,9.4189,1.37
3.40421,-0.9785,0.9752,9.2661,1.4
3.423445,-0.9663,0.9888,9.2817,1.4
