time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.026948,0.0846,9.779,-0.015,0.29
0.051858,0.0471,9.7071,0.0202,0.21
0.052016,0.0848,9.674,0.0237,0.2
0.069268,0.0655,9.6729,0.0298,0.19
0.069397,0.0629,9.7161,0.0578,0.23
0.08286,0.0734,9.7571,0.07,0.28
0.090289,0.0622,9.8119,0.0166,0.32
0.106293,0.0342,9.8617,0.0275,0.36
0.109997,0.028,9.8494,0.0159,0.35
0.123313,-0.0169,9.8522,0.0183,0.35
0.129699,-0.04,9.856,0.034,0.36
0.14163,0.0069,9.8158,0.0401,0.32
0.149734,-0.0172,9.8277,0.0788,0.34
0.1597,-0.0415,9.8126,0.0757,0.32
0.174957,-0.0372,9.8033,0.0228,0.31
0.179972,-0.047,9.793,-0.0182,0.3
0.192334,-0.01,9.8145,-0.025,0.32
0.200419,-0.0438,9.8593,-0.0064,0.36
0.210022,-0.093,9.8933,0.0209,0.4
0.224709,-0.1299,9.8902,-0.0003,0.41
0.229815,-0.1341,9.8382,0.0747,0.37
0.242202,-0.1094,9.8212,0.089,0.35
0.249674,-0.095,9.85,-0.0106,0.36
0.25998,-0.09,9.859,-0.0267,0.37
0.276046,-0.0733,9.8523,-0.0122,0.36
0.279603,-0.029,9.8185,-0.0063,0.32
0.292908,0.0057,9.8168,-0.0207,0.32
0.299714,0.0215,9.8172,0.028,0.32
0.309978,0.0085,9.7845,0.0367,0.29
0.327089,0.0094,9.7608,0.0219,0.26
0.329634,0.023,9.773,-0.0036,0.27
0.344187,-0.0001,9.7748,-0.0076,0.27
0.349813,-0.0246,9.7816,-0.0298,0.28
0.359945,-0.0343,9.7843,-0.0085,0.29
0.376915,-0.0399,9.769,0.0059,0.27
0.379388,-0.0302,9.7876,-0.0108,0.29
0.394338,-0.0067,9.8424,-0.0259,0.34
0.399684,0.0154,9.8592,0.0078,0.36
0.410672,0.0459,9.8831,0.0042,0.39
0.427227,0.1225,9.8689,0.0087,0.39
0.429757,-0.0146,9.8227,-0.0756,0.33
0.443781,-0.0877,9.7774,-0.1336,0.32
0.449398,0.0505,9.8414,-0.0609,0.35
0.460381,0.069,9.885,-0.1019,0.4
0.477086,0.0233,9.8336,-0.1657,0.37
0.479265,0.067,9.8572,-0.1764,0.4
0.494197,0.0161,9.8448,-0.1642,0.38
0.499613,-0.0094,9.8064,-0.1985,0.37
0.511464,-0.0005,9.8199,-0.205,0.38
0.528087,0.0037,9.8345,-0.2135,0.4
0.529098,-0.0094,9.853,-0.2377,0.43
0.545844,-0.0464,9.8595,-0.2814,0.46
0.549717,-0.0565,9.8488,-0.3296,0.48
0.56228,-0.0914,9.829,-0.3706,0.5
0.569583,-0.196,9.8073,-0.4576,0.59
0.579373,-0.2565,9.7465,-0.4831,0.6
0.594757,-0.3001,9.7387,-0.5065,0.64
0.599538,-0.3218,9.7328,-0.4629,0.61
0.612382,-0.2677,9.7079,-0.4195,0.54
0.619641,-0.1803,9.7,-0.451,0.53
0.629078,-0.0894,9.6836,-0.4867,0.53
0.645454,0.0363,9.6627,-0.5761,0.6
0.649325,0.1367,9.6393,-0.6161,0.65
0.662169,0.2334,9.6073,-0.6473,0.7
0.669424,0.2402,9.5773,-0.7542,0.8
0.679677,0.1644,9.5462,-0.8233,0.84
0.697106,0.0189,9.4925,-0.9072,0.91
0.698981,-0.1344,9.4271,-0.9527,0.96
0.711862,-0.28,9.4137,-0.9613,1.0
0.73017,-0.4475,9.3281,-0.9437,1.06
0.733344,-0.5492,9.2218,-0.9664,1.15
0.746149,-0.5741,9.1196,-1.0173,1.23
0.753299,-0.5488,9.0046,-1.0625,1.29
0.763477,-0.5135,8.8575,-1.0809,1.36
0.780016,-0.4142,8.7635,-1.0464,1.34
0.783561,-0.3506,8.7368,-0.9205,1.25
0.796892,-0.3196,8.7706,-0.7972,1.13
0.803244,-0.2229,8.7919,-0.5824,0.94
0.814261,-0.1245,8.8396,-0.4302,0.8
0.830156,-0.0178,8.8805,-0.3303,0.7
0.833519,0.0907,8.9463,-0.307,0.64
0.845955,0.1063,9.0443,-0.2964,0.55
0.853077,0.0889,9.1365,-0.3356,0.5
0.863519,0.1267,9.2729,-0.4111,0.49
0.880476,0.1449,9.3537,-0.491,0.53
0.883241,0.1121,9.3944,-0.5422,0.56
0.896747,0.1602,9.4036,-0.5845,0.61
0.903032,0.2338,9.3686,-0.4433,0.52
0.914318,0.307,9.2605,-0.4002,0.56
0.930997,0.3551,9.1577,-0.2792,0.57
0.932688,0.4176,9.0361,-0.2617,0.68
0.947831,0.5162,8.8376,-0.2664,0.88
0.963909,0.5493,8.6702,-0.2961,1.04
0.973118,0.4858,8.5841,-0.3231,1.09
0.973375,0.3846,8.58,-0.2908,1.04
0.985739,0.3166,8.6319,-0.1569,0.94
0.996796,0.1705,8.737400000000001,0.0585,0.78
1.002515,-0.0105,8.8787,0.1772,0.65
1.014073,-0.0437,9.0155,0.1763,0.52
1.022609,-0.0506,9.0905,0.1329,0.43
1.044913,-0.1495,9.1869,-0.1212,0.37
1.045779,-0.2228,9.2614,-0.2142,0.39
1.052851,-0.177,9.3827,-0.6496,0.68
1.066107,-0.237,9.5928,-0.8811,0.92
1.072323,-0.3755,9.8171,-0.8961,1.02
1.082738,-0.4508,9.964,-0.7181,0.97
1.102762,-0.3136,9.9599,-0.3411,0.65
1.103063,-0.1852,9.8244,0.1688,0.41
1.116524,-0.0283,9.6369,0.596,0.61
1.123142,0.2802,9.3649,0.8468,0.9
1.134481,0.5642,9.0891,0.9147,1.15
1.155238,0.7243,8.8428,0.8735,1.31
1.155355,0.8105,8.6471,0.751,1.4
1.166781,0.764,8.5308,0.6464,1.39
1.172718,0.6802,8.4295,0.5225,1.37
1.183467,0.5067,8.4281,0.6237,1.34
1.200801,0.4074,8.4703,0.8137,1.37
1.202529,0.2711,8.5282,0.9258,1.37
1.216399,0.1376,8.5277,1.0101,1.41
1.22267,0.019,8.6209,1.0766,1.39
1.233074,-0.168,8.8014,1.0391,1.26
1.250359,-0.3759,9.031,0.8809,1.07
1.252141,-0.6366,9.2758,0.6782,0.96
1.266199,-0.8199,9.5331,0.4852,0.95
1.27277,-0.8983,9.7799,0.3355,1.0
1.284343,-0.8146,10.0412,0.2628,1.01
1.301158,-0.5671,10.223,0.2662,0.96
1.302142,-0.2866,10.3383,0.3179,0.94
1.31798,0.0573,10.3719,0.3513,0.94
1.322057,0.3323,10.345,0.4329,1.01
1.333875,0.4292,10.3268,0.5226,1.07
1.351788,0.3579,10.3245,0.5721,1.07
1.352602,0.1594,10.2536,0.5999,0.98
1.36817,-0.0157,10.0576,0.5771,0.8
1.372521,-0.2174,9.8354,0.6361,0.75
1.384621,-0.2857,9.6342,0.576,0.66
1.392393,-0.2842,9.503,0.5494,0.62
1.402462,-0.2852,9.4529,0.647,0.71
1.417606,-0.2506,9.5104,0.6825,0.73
1.422105,-0.2101,9.6442,0.6894,0.74
1.435036,-0.12,9.7442,0.61,0.67
1.442097,-0.0315,9.8087,0.4353,0.53
1.452538,0.2041,9.7595,0.2335,0.4
1.467496,0.459,9.6531,0.1609,0.51
1.472445,0.5334,9.6621,0.0537,0.56
1.48574,0.6751,9.8849,0.0233,0.78
1.49252,1.0718,10.0919,0.0277,1.22
1.503234,1.4831,10.0812,0.0588,1.59
1.519443,1.6404,10.0442,0.2085,1.74
1.52217,1.3732,10.0381,0.4424,1.54
1.535823,0.8921,10.0551,0.7241,1.28
1.542474,0.4035,9.9791,0.8058,1.02
1.55273,0.0519,9.9038,0.9596,1.04
1.56771,-0.1893,9.8614,1.0629,1.14
1.572212,-0.2685,9.9746,1.0849,1.21
1.586324,-0.2278,10.2378,0.9891,1.25
1.592622,-0.0126,10.7011,0.9151,1.51
1.603268,0.2824,11.6941,0.8237,2.36
1.619565,0.5698,13.4118,0.9232,4.06
1.621719,0.8094,15.4795,0.8805,6.1
1.63546,1.1636,17.0028,0.8864,7.64
1.642051,1.2221,16.411,0.5658,7.04
1.653361,0.9142,13.4671,0.534,4.11
1.670097,-0.0057,9.9533,0.4845,0.66
1.671846,-0.5744,8.7254,0.6268,1.15
1.686972,-0.2881,9.4104,0.7647,0.82
1.692491,-0.0293,10.6441,0.9102,1.46
1.702508,0.3068,11.5097,0.8664,2.21
1.720707,0.472,11.5984,0.8296,2.31
1.721846,0.1654,11.44,0.9841,2.18
1.737364,-0.0484,11.1707,1.1133,2.01
1.742261,-0.1408,10.8363,0.9975,1.67
1.753794,-0.1306,10.6379,0.603,1.29
1.76998,-0.0576,10.593399999999999,0.1514,1.11
1.771861,-0.0399,10.587299999999999,-0.2901,1.13
1.787847,-0.1817,10.4596,-0.6242,1.16
1.791909,-0.2372,10.3276,-0.5783,1.04
1.803555,-0.3312,10.2823,-0.2754,0.89
1.811801,-0.4895,10.2644,0.0231,0.91
1.821693,-0.5323,10.139,0.3092,0.89
1.837679,-0.4096,9.9706,0.4312,0.76
1.841993,-0.2479,9.7582,0.4448,0.57
1.855076,-0.0842,9.5706,0.3505,0.37
1.861982,-0.0338,9.4712,0.2905,0.29
1.87197,-0.1198,9.4933,0.3618,0.38
