time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.012647,0.0601,9.7099,0.1193,0.25
0.012787,0.0918,9.7171,-0.0065,0.24
0.025161,0.1485,9.7911,-0.0497,0.33
0.038315,0.2147,9.8512,-0.0286,0.41
0.049521,0.1808,9.8993,-0.0337,0.44
0.053057,0.131,9.957699999999999,-0.0317,0.48
0.065045,0.0825,9.958,-0.0288,0.47
0.074152,0.0533,9.8985,-0.0246,0.4
0.084913,-0.0267,9.8885,0.0144,0.39
0.098437,-0.0768,9.9,0.0353,0.41
0.10296,-0.034,9.8817,0.0578,0.39
0.114884,0.0304,9.8776,0.1061,0.39
0.129941,0.1036,9.8543,0.0808,0.38
0.132704,0.1452,9.8258,0.0199,0.36
0.148445,0.1585,9.8144,0.0373,0.35
0.152797,0.1531,9.8702,0.1318,0.42
0.164208,0.1384,9.8519,0.184,0.42
0.180506,0.119,9.7978,0.1666,0.36
0.182443,0.0899,9.7216,0.0959,0.26
0.198919,0.0273,9.6846,0.17,0.25
0.202674,-0.1499,9.6691,0.2274,0.32
0.214752,-0.3064,9.6326,0.251,0.42
0.233343,-0.3809,9.6463,0.217,0.46
0.233523,-0.5147,9.6263,0.1508,0.55
0.250181,-0.6423,9.6312,0.1627,0.68
0.252351,-0.7228,9.671,0.1684,0.76
0.263933,-0.6936,9.6865,0.1783,0.74
0.283099,-0.5675,9.6833,0.1199,0.61
0.283286,-0.3147,9.7446,0.0861,0.41
0.297571,-0.131,9.8023,0.0441,0.33
0.302281,-0.0459,9.9851,0.0604,0.49
0.31734,0.1266,10.1609,0.1286,0.69
0.32243,0.3427,10.3917,0.2338,0.98
0.332378,0.4686,10.4715,0.2833,1.12
0.349814,0.4162,10.3454,0.2724,0.98
0.352417,0.3008,10.1736,0.2856,0.79
0.366966,0.2935,10.0049,0.384,0.7
0.372348,0.1836,9.8919,0.4949,0.66
0.383371,-0.0376,9.8012,0.4867,0.57
0.400463,-0.1622,9.7656,0.4821,0.57
0.40235,-0.1292,9.8922,0.5207,0.66
0.417375,-0.1596,10.0219,0.4502,0.71
0.422501,-0.2508,10.0673,0.3134,0.69
0.432509,-0.4396,10.0177,0.1902,0.71
0.448827,-0.441,10.0176,0.1586,0.7
0.452203,-0.3582,10.037,0.2519,0.69
0.466218,-0.1341,9.9462,0.4219,0.63
0.472446,0.0026,9.7767,0.5268,0.6
0.485204,0.0059,9.6124,0.5059,0.52
0.501212,-0.1529,9.476,0.468,0.49
0.502036,-0.3633,9.4125,0.4481,0.58
0.516595,-0.5826,9.3757,0.428,0.73
0.522163,-0.7769,9.2813,0.4193,0.91
0.534412,-0.8889,9.2189,0.432,1.03
0.551602,-0.9059,9.17,0.4113,1.05
0.552518,-0.9036,9.1449,0.4074,1.05
0.568318,-0.8332,9.1129,0.3592,0.99
0.572868,-0.682,9.098,0.3069,0.85
0.584952,-0.5076,9.078,0.2774,0.72
0.601899,-0.344,9.0625,0.2098,0.59
0.602122,-0.1752,9.079,0.1697,0.49
0.617993,0.0247,9.0309,0.104,0.48
0.622438,0.1456,8.9646,0.0104,0.55
0.633981,0.2182,8.9093,-0.0316,0.63
0.642276,0.1335,8.9459,0.0007,0.57
0.653227,0.0501,8.9216,-0.0211,0.58
0.66964,0.0655,8.8003,-0.0476,0.7
0.672034,0.0607,8.5393,-0.1312,0.97
0.686928,0.0118,8.1402,-0.2799,1.39
0.692676,0.0814,7.6255,-0.4826,1.94
0.703054,0.1264,7.0375,-0.5547,2.53
0.71916,0.1384,6.5191,-0.4212,3.01
0.722034,0.0365,6.138199999999999,-0.3322,3.38
0.736491,-0.1269,5.958,-0.2652,3.55
0.742019,-0.4097,5.9668,-0.0312,3.56
0.753142,-0.7966,6.1177,0.4671,3.51
0.768968,-1.2269,6.3724,0.9458,3.49
0.772037,-1.3267,6.5161,1.2051,3.48
0.78447,-0.9951,6.5001999999999995,1.2695,3.41
0.792549,-0.4561,6.4443,1.3284,3.36
0.802825,0.0835,6.5785,1.363,3.22
0.820805,0.5346,6.8853,1.246,2.95
0.821761,0.5861,7.4154,1.2336,2.49
0.836768,0.1221,8.198,1.4297,1.94
0.842049,-0.5768,9.1233,1.6485,1.79
0.853762,-1.3674,10.0011,1.7433,2.27
0.871033,-2.162,10.6985,1.7082,3.0
0.871779,-2.9153,11.1169,1.4814,3.65
0.885547,-3.4023,11.3157,0.8885,3.96
0.891802,-3.1854,11.230599999999999,0.0706,3.63
0.904313,-2.1301,11.0044,-0.8685,2.75
0.921209,-0.5944,11.0729,-1.5668,2.3
0.921415,0.7577,11.5,-2.2402,3.1
0.937668,2.0395,12.1181,-3.1759,4.59
0.941997,3.4062,12.7605,-3.7398,6.02
0.954921,4.1921,13.4475,-3.521,6.75
0.971454,3.5031,14.1439,-2.8266,6.47
0.986572,1.469,14.6714,-1.9869,5.73
0.986829,-0.5771,14.853100000000001,-1.2057,5.52
0.992294,-1.8334,14.625399999999999,-0.4822,5.46
1.003844,-2.4725,14.511800000000001,-0.6388,5.62
1.01148,-2.0207,15.102599999999999,-0.8233,6.01
1.024296,0.2383,16.5376,2.2103,7.38
1.038483,2.343,18.192,6.7111,11.23
1.041388,2.1396,18.2135,6.0849,10.84
1.059012,0.9087,16.1226,1.4333,6.84
1.061386,0.1454,13.6562,-1.714,4.5
1.074268,0.0084,11.6614,-2.7845,3.52
1.088692,0.2103,9.9537,-2.5205,2.57
1.101835,0.5788,8.4809,-1.8043,2.15
1.102775,1.2809,7.3064,-1.0219,2.74
1.120164,2.1735,6.3327,-0.2172,3.85
1.143274,2.9413,5.694599999999999,0.5314,4.84
1.157269,3.2895,6.0299,2.3701,5.34
1.171542,1.5343,7.5451999999999995,1.8992,3.13
1.192175,0.5741,8.4054,1.2284,1.74
1.192382,-0.1679,9.2016,0.373,0.51
1.20508,-0.4933,9.6975,-0.4435,0.69
1.211104,-0.4976,9.8387,-0.9387,1.12
1.221904,-0.2902,9.6355,-1.0233,1.07
1.24137,0.0438,9.1505,-0.9714,1.03
1.241737,0.3327,8.5232,-0.751,1.28
1.255046,0.5758,7.9302,-0.417,1.72
1.261051,0.8095,7.431900000000001,-0.0084,2.22
1.272751,1.0302,7.0545,0.376,2.68
1.290371,1.2563,6.8159,0.7189,3.05
1.291174,1.4021,6.607,0.958,3.35
1.306575,1.4218,6.3895,1.0513,3.58
1.311202,1.1572,6.167199999999999,1.1391,3.71
1.324621,0.8783,6.0615000000000006,1.1714,3.74
1.341051,0.4217,6.1543,1.2425,3.59
1.341234,-0.2072,6.354699999999999,1.3193,3.42
1.356772,-0.3403,6.648,1.3335,3.17
1.361303,-0.1081,7.1145,1.3389,2.74
1.37405,0.1439,7.7346,1.3701,2.24
1.390653,0.2225,8.3217,1.4299,1.87
1.390819,0.2448,8.7207,1.4342,1.65
1.407522,0.4483,8.8695,1.2685,1.49
1.411313,0.8179,8.8093,1.0258,1.48
1.425381,0.9502,8.6353,0.6945,1.46
1.431498,0.8198,8.3956,0.1258,1.38
1.441548,0.6805,8.3248,-0.8394,1.6
1.457042,0.636,8.5001,-1.3735,1.81
1.461238,0.302,9.103,-1.3737,1.46
1.47201,-0.3076,10.332699999999999,-0.9934,1.33
1.480941,-0.5095,11.7307,-1.2994,2.63
1.490765,-0.2541,12.9923,-2.2429,4.16
1.507394,-0.2783,14.2818,-3.1485,5.73
1.510916,-0.2312,15.4123,-3.7901,7.03
1.523839,0.4627,15.7422,-4.0318,7.45
1.531343,1.4988,15.3635,-3.9819,7.24
1.541746,1.8107,15.0394,-3.5517,6.82
1.558512,1.0349,15.4739,-2.6574,6.62
1.560593,-0.3817,16.6878,-1.2982,7.31
1.57451,-1.9562,18.3826,0.7478,9.13
1.580769,-3.1913,19.6509,2.2815,10.88
1.592163,-3.0107,19.4399,1.3604,10.47
1.60813,-1.7414,17.6316,-0.5695,8.34
1.611014,-0.614,15.3787,-1.2817,6.05
1.626143,-0.0399,13.4199,-0.8395,4.01
1.631208,0.231,11.789,-0.0663,2.3
1.642052,0.2486,10.3462,0.4128,0.97
1.65712,0.3148,9.1008,0.6326,0.81
1.660588,0.246,8.0764,0.6928,1.6
1.674672,-0.0158,7.3111999999999995,0.7185,2.3
1.680709,-0.2736,6.834,0.6418,2.76
1.692399,-0.4526,6.559699999999999,0.541,3.02
1.708509,-0.6491,6.647,0.4322,2.96
1.710563,-0.7693,6.8956,0.249,2.73
1.726597,-0.9154,7.1445,-0.0598,2.53
1.730535,-1.0515,7.4338999999999995,-0.4324,2.36
1.741631,-1.108,7.7139,-0.8463,2.27
1.758945,-1.0606,7.8159,-1.1903,2.32
1.760847,-0.9066,7.8036,-1.3814,2.37
1.775744,-0.7181,7.614,-1.4263,2.47
1.7805,-0.636,7.275,-1.3945,2.7
1.793314,-0.6248,6.8822,-1.3378,3.01
1.800499,-0.5628,6.5916,-1.2157,3.2
1.810537,-0.4588,6.3396,-1.036,3.36
1.824865,-0.3401,6.2537,-0.7573,3.35
1.83046,-0.1977,6.2346,-0.4062,3.3
1.8424,-0.0858,6.1882,-0.2524,3.32
1.850488,-0.0593,6.0572,-0.2847,3.46
1.86051,-0.103,5.8146,-0.3592,3.7
1.875338,-0.2268,5.5173000000000005,-0.3925,4.01
1.880495,-0.4006,5.2614,-0.3113,4.27
1.892549,-0.5338,5.0919,-0.0769,4.44
1.900183,-0.4337,4.9804,0.1984,4.54
1.910331,-0.3171,5.0674,0.573,4.48
1.926277,-0.4008,5.3373,0.9451,4.29
1.930208,-0.7591,5.7547999999999995,1.4642,4.09
1.943938,-1.3784,6.4024,2.1372,4.01
1.950184,-2.1074,7.2064,2.83,4.21
1.960993,-2.7206,8.2116,3.3484,4.5
1.982767,-3.069,9.1878,3.3815,4.58
1.983026,-3.2453,9.9585,2.594,4.18
1.993256,-2.7099,10.3865,1.0577,3.04
2.000726,-1.3866,10.6875,-0.8785,2.03
2.010581,-0.197,11.1058,-2.9326,3.35
2.027355,0.8612,11.4847,-4.7197,5.19
