time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.026779,-0.1875,9.9424,0.2316,0.53
0.042077,-0.3084,9.7754,0.2678,0.49
0.053867,-0.3539,9.8187,0.2266,0.53
0.065081,-0.354,9.8842,0.2235,0.57
0.079323,-0.3647,9.9662,0.2109,0.63
0.086671,-0.3441,9.9376,0.2177,0.6
0.097826,-0.2645,9.9241,0.2904,0.58
0.113191,-0.2079,9.8916,0.3679,0.58
0.116432,-0.2353,9.8219,0.3905,0.56
0.130801,-0.2053,9.7863,0.3733,0.51
0.136468,-0.1266,9.7246,0.3875,0.47
0.146799,-0.11,9.6989,0.3593,0.43
0.163915,-0.0663,9.6909,0.3265,0.38
0.166459,-0.049,9.691,0.2879,0.35
0.181755,-0.0337,9.701,0.2587,0.33
0.186577,-0.0423,9.7129,0.2179,0.31
0.199919,-0.0793,9.7417,0.2196,0.34
0.206436,-0.1061,9.7625,0.2103,0.35
0.216319,-0.1411,9.8133,0.2425,0.42
0.231788,-0.1901,9.8321,0.2461,0.45
0.236464,-0.2036,9.8318,0.2804,0.48
0.247568,-0.2505,9.8454,0.2896,0.52
0.256691,-0.2599,9.8381,0.2893,0.52
0.266498,-0.2656,9.8397,0.3251,0.54
0.281907,-0.2634,9.8303,0.3253,0.53
0.286308,-0.2731,9.8108,0.33,0.53
0.300123,-0.3011,9.7985,0.3583,0.56
0.307618,-0.3148,9.7592,0.3962,0.57
0.316495,-0.3074,9.719,0.4358,0.58
0.331849,-0.3226,9.6918,0.4656,0.6
0.336436,-0.3101,9.7305,0.5193,0.65
0.359076,-0.3087,9.7492,0.5698,0.69
0.383019,-0.2643,9.8798,0.6732,0.82
0.386243,-0.1753,9.9546,0.6724,0.83
0.400158,-0.1401,9.9804,0.6184,0.8
0.40617,-0.1151,9.9903,0.5044,0.71
0.416196,-0.0724,10.0091,0.4698,0.7
0.433841,0.0585,10.0041,0.4886,0.7
0.436112,0.1612,9.958,0.5351,0.72
0.450302,0.2698,9.925,0.5251,0.73
0.45627,0.3365,9.8823,0.5044,0.72
0.467205,0.363,9.7796,0.4964,0.68
0.481853,0.4072,9.727,0.3944,0.61
0.486077,0.5504,9.6432,0.3007,0.64
0.500086,0.7615,9.6073,0.2201,0.8
0.50665,0.9675,9.543,0.1452,0.98
0.520209,1.0871,9.5327,0.0,1.09
0.534892,1.1533,9.525,-0.1838,1.17
0.540502,1.1983,9.6393,-0.253,1.23
0.551278,1.1456,9.814,-0.2327,1.21
0.568895,0.9593,10.0389,-0.1411,1.11
0.570258,0.704,10.2859,-0.0275,1.06
0.585484,0.3801,10.494,0.0608,1.07
0.58995,-0.0466,10.6863,0.1527,1.2
0.601442,-0.4577,10.6988,0.1739,1.29
0.618724,-0.7864,10.5606,0.1191,1.33
0.619939,-0.991,10.3433,0.0765,1.3
0.63421,-1.104,10.0543,0.1115,1.24
0.640657,-1.0753,9.6844,0.1398,1.1
0.652742,-0.8353,9.3852,0.2224,0.87
0.660091,-0.5377,9.1636,0.2771,0.69
0.670626,-0.163,9.0818,0.3027,0.54
0.686068,0.3085,9.0563,0.2722,0.61
0.689819,0.8204,9.0811,0.2038,0.94
0.705388,1.1043,9.1638,0.1864,1.17
0.709814,1.1674,9.3838,0.1556,1.18
0.720278,1.1328,9.5528,0.1485,1.14
0.739294,0.9392,9.7529,0.1516,0.98
0.751,0.4582,9.9894,0.2229,0.71
0.759993,0.1444,10.0027,0.2303,0.57
0.770947,-0.1375,9.9339,0.3152,0.55
0.786786,-0.3201,9.8623,0.3811,0.62
0.789978,-0.3977,9.7602,0.4032,0.62
0.800551,-0.4581,9.6701,0.4397,0.66
0.810017,-0.3954,9.5234,0.4787,0.62
0.819939,-0.2747,9.4483,0.524,0.59
