time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.031596,-0.1273,0.3748,9.5961,0.41
0.049297,-0.0527,0.5541,9.2987,0.59
0.074188,-0.0133,0.3916,9.3855,0.41
0.089009,0.0317,0.2891,9.4193,0.3
0.102993,0.0554,0.2398,9.5311,0.25
0.112858,0.1068,0.2572,9.5582,0.28
0.121302,0.1312,0.2816,9.6193,0.33
0.131454,0.1036,0.3561,9.5997,0.38
0.137943,0.0783,0.3997,9.5987,0.42
0.147797,0.1434,0.4223,9.6056,0.46
0.165548,0.2616,0.399,9.7158,0.52
0.168164,0.0247,0.2387,9.847,0.42
0.181786,-0.0178,0.1413,9.5771,0.16
0.188425,0.0619,0.1467,9.5632,0.17
0.198915,-0.0138,0.1854,9.6261,0.22
0.220571,-0.0875,0.227,9.6085,0.27
0.220683,-0.0856,0.2417,9.5644,0.26
0.231557,-0.0647,0.3022,9.5481,0.31
0.238249,-0.067,0.3727,9.4722,0.38
0.248585,-0.1109,0.3991,9.4258,0.42
0.26559,-0.1591,0.4406,9.3936,0.48
0.267903,-0.2244,0.455,9.3924,0.52
0.282169,-0.3454,0.4916,9.3827,0.61
0.28811,-0.4211,0.4996,9.426,0.66
0.300008,-0.5259,0.5036,9.5438,0.73
0.316992,-0.6427,0.4779,9.6128,0.81
0.322383,-0.7728,0.3509,9.6374,0.86
0.333681,-0.8448,0.2064,9.555,0.87
0.349124,-0.8979,0.1694,9.5088,0.91
0.352188,-1.0331,0.1529,9.5013,1.04
0.366209,-1.1946,0.1106,9.5147,1.2
0.372248,-1.2655,0.1227,9.6369,1.28
0.382574,-1.2446,0.1977,9.6138,1.27
0.400844,-1.0871,0.2345,9.5997,1.12
0.402144,-0.9121,0.2635,9.5776,0.95
0.417597,-0.7249,0.2573,9.5616,0.77
0.422058,-0.5588,0.2547,9.5636,0.62
0.43457,-0.3772,0.228,9.5489,0.44
0.45027,-0.1862,0.2251,9.5302,0.29
0.451414,-0.0521,0.263,9.5296,0.27
0.466489,0.0652,0.3816,9.4877,0.39
