time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010761,0.0612,9.9985,-0.0151,0.5
0.010874,0.0377,9.807,0.0119,0.31
0.021753,0.0254,9.7695,0.0773,0.28
0.035358,0.0227,9.801,0.0813,0.31
0.037564,0.0641,9.8274,0.1013,0.35
0.04781,0.1457,9.8208,0.0904,0.36
0.057244,0.2345,9.6894,0.1247,0.33
0.067197,0.2302,9.6382,0.1316,0.3
0.084566,0.1828,9.6359,0.1755,0.29
0.091709,0.1276,9.6364,0.2018,0.27
0.100933,0.0143,9.6677,0.1945,0.26
0.107129,-0.0414,9.7241,0.2075,0.31
0.117274,-0.0724,9.7692,0.1455,0.31
0.130848,-0.0694,9.8461,0.0923,0.36
0.137327,-0.0165,9.9371,0.0125,0.44
0.148925,-0.014,9.9418,-0.0556,0.45
0.157261,-0.004,9.8907,-0.1043,0.4
0.167139,0.0273,9.8738,-0.1146,0.39
0.182604,0.014,9.8049,-0.0992,0.32
0.187288,-0.0088,9.7482,-0.0097,0.25
0.198954,-0.0479,9.6975,0.0391,0.21
0.206894,-0.0668,9.6858,0.0946,0.22
0.217083,-0.0627,9.6651,0.155,0.23
0.234137,-0.0913,9.6774,0.2109,0.29
0.237365,-0.0993,9.7016,0.244,0.33
0.250073,-0.0945,9.7445,0.2088,0.34
0.257203,-0.0927,9.7683,0.1331,0.31
0.269175,-0.0529,9.784,0.0883,0.3
0.28627,-0.0182,9.8035,0.0261,0.31
0.287456,0.0052,9.850999999999999,-0.0066,0.35
0.302944,0.0017,9.842600000000001,-0.0071,0.34
0.308038,-0.0017,9.8403,0.003,0.34
0.322121,0.0044,9.8351,0.0676,0.34
0.334177,0.0155,9.768,0.0757,0.28
0.337638,0.0451,9.7489,0.1198,0.28
0.351331,0.0699,9.7367,0.1336,0.28
0.356813,0.073,9.7364,0.1382,0.28
0.366656,0.0865,9.7621,0.1887,0.33
0.383969,0.1144,9.7929,0.2032,0.37
0.387104,0.1262,9.7716,0.2445,0.39
0.40315,0.1328,9.8044,0.2851,0.44
0.406691,0.112,9.812,0.2812,0.43
0.417808,0.1228,9.8277,0.2611,0.44
0.426792,0.0826,9.8153,0.1769,0.37
0.436815,0.0357,9.7958,0.1006,0.31
0.451061,0.0296,9.8055,0.0276,0.31
0.456679,0.0273,9.8143,0.0283,0.32
0.46848,-0.0047,9.831,0.022,0.33
0.476841,-0.0299,9.8429,0.0447,0.35
0.486727,-0.0445,9.81,0.0868,0.32
0.501476,0.0029,9.7952,0.1139,0.32
0.50672,0.0611,9.7785,0.1188,0.31
0.521021,0.1087,9.7407,0.1119,0.29
0.52654,0.0972,9.7238,0.0662,0.25
0.537085,0.0663,9.7199,0.0017,0.23
0.552276,-0.0183,9.7508,-0.0264,0.25
0.556741,-0.1322,9.7888,-0.0417,0.32
0.569104,-0.2471,9.8146,-0.0649,0.41
0.576525,-0.3117,9.8414,-0.0952,0.47
0.588258,-0.3302,9.8463,-0.0645,0.48
0.602514,-0.335,9.8605,-0.0586,0.5
0.606738,-0.2863,9.8554,-0.1009,0.47
0.619255,-0.2257,9.8385,-0.1233,0.43
0.62656,-0.1454,9.8147,-0.0783,0.36
0.63688,-0.0532,9.801,-0.0635,0.31
0.659026,-0.024,9.7871,-0.0718,0.3
0.659202,-0.021,9.7652,-0.097,0.28
0.67051,-0.0347,9.755,-0.0998,0.28
0.676526,-0.0273,9.7217,-0.1198,0.25
0.686289,-0.0255,9.7263,-0.127,0.26
0.702861,-0.0362,9.752,-0.1625,0.3
0.706667,-0.0483,9.7654,-0.199,0.34
0.721064,-0.0296,9.7919,-0.2049,0.36
0.726485,-0.0125,9.7865,-0.218,0.36
0.736238,0.0236,9.803,-0.2174,0.37
0.753319,0.0358,9.8146,-0.2075,0.38
0.756295,0.0714,9.8453,-0.2251,0.42
0.772381,0.1063,9.8541,-0.2162,0.43
0.776776,0.107,9.8709,-0.1825,0.43
0.786717,0.1052,9.8688,-0.1991,0.43
0.803871,0.0657,9.8448,-0.1432,0.38
0.806613,0.0375,9.8307,-0.1383,0.36
0.821414,0.0559,9.7989,-0.1321,0.33
0.826819,0.0681,9.761,-0.1257,0.3
0.837174,0.099,9.735,-0.1279,0.29
0.846386,0.1092,9.744,-0.1344,0.3
0.856188,0.162,9.756,-0.1193,0.33
0.872701,0.1768,9.7559,-0.1923,0.37
0.876477,0.1661,9.7728,-0.1615,0.36
0.88795,0.1459,9.7676,-0.1178,0.33
0.896341,0.1063,9.7944,-0.1151,0.33
0.906155,0.0377,9.7982,-0.1122,0.32
0.921905,-0.0265,9.7889,-0.1111,0.31
0.926551,-0.0311,9.7785,-0.1979,0.34
0.939535,0.0191,9.7733,-0.2893,0.4
0.946167,0.0267,9.769,-0.309,0.41
0.95664,0.0751,9.7808,-0.2937,0.41
0.97134,0.1025,9.7707,-0.2597,0.39
0.976552,0.1079,9.7585,-0.2564,0.38
0.989929,0.1165,9.7442,-0.2596,0.37
0.996378,0.1435,9.744,-0.2816,0.4
1.0063,0.1724,9.7218,-0.2967,0.41
1.023629,0.1844,9.7124,-0.3358,0.44
1.026119,0.169,9.7309,-0.4125,0.5
1.040261,0.1086,9.7063,-0.4488,0.51
1.046817,0.0732,9.6626,-0.472,0.5
1.056619,0.0198,9.6257,-0.4998,0.52
1.073607,-0.0351,9.5694,-0.5306,0.54
1.076305,-0.0777,9.5217,-0.5265,0.53
1.091245,-0.0617,9.5081,-0.5407,0.54
1.09896,-0.0322,9.4895,-0.5702,0.57
1.10837,-0.0192,9.5238,-0.5575,0.56
1.122977,0.0117,9.5445,-0.5224,0.52
1.125726,0.0699,9.6275,-0.4467,0.47
1.140799,0.0906,9.6987,-0.3782,0.44
1.146874,0.1295,9.772,-0.3264,0.44
1.155726,0.1205,9.8211,-0.3351,0.48
1.16583,0.0583,9.8031,-0.389,0.5
1.176094,0.0416,9.764,-0.4466,0.52
1.1913,-0.0375,9.6975,-0.5023,0.54
1.196013,-0.1077,9.6321,-0.5796,0.6
1.206616,-0.1391,9.5826,-0.6373,0.66
1.216235,-0.1364,9.5621,-0.6597,0.68
1.225894,-0.1374,9.4978,-0.6284,0.64
1.242562,-0.0522,9.4039,-0.6061,0.62
1.24567,0.08,9.3343,-0.5584,0.59
1.2594,0.1895,9.29,-0.4823,0.56
1.265976,0.2189,9.2396,-0.4518,0.57
1.278081,0.2322,9.1535,-0.4381,0.6
1.292261,0.2799,9.1295,-0.4478,0.65
1.296287,0.2866,9.1588,-0.4778,0.65
1.308791,0.23,9.2094,-0.5309,0.65
1.31592,0.1434,9.2513,-0.6008,0.67
1.325603,0.0779,9.2855,-0.5549,0.6
1.342819,-0.0448,9.258,-0.5148,0.57
1.345815,-0.1078,9.2029,-0.496,0.59
1.358444,-0.2044,9.1159,-0.4104,0.6
1.366101,-0.2344,8.9726,-0.3959,0.7
1.376166,-0.2231,8.7767,-0.3732,0.84
1.393427,-0.193,8.5794,-0.2927,0.99
1.400208,-0.2267,8.3907,-0.2003,1.15
1.410201,-0.2506,8.243500000000001,-0.1317,1.29
1.427212,-0.3455,8.1592,-0.0173,1.38
1.429999,-0.4397,8.171,-0.0534,1.4
1.444205,-0.4687,8.2518,-0.0319,1.33
1.450109,-0.456,8.4226,0.0682,1.17
1.460613,-0.5264,8.6055,0.0826,1.04
1.476701,-0.4544,8.7136,0.0357,0.91
1.479829,-0.3214,8.7798,0.0095,0.79
1.493548,-0.1195,8.7701,-0.0128,0.74
1.500078,-0.0561,8.7734,-0.0038,0.73
1.509451,-0.0564,8.7627,0.0502,0.74
1.526845,-0.0725,8.7558,0.0627,0.75
1.529936,-0.1737,8.7665,0.1005,0.76
1.543856,-0.2662,8.8307,0.2458,0.76
1.551362,-0.339,8.8735,0.3505,0.79
1.561581,-0.42,8.9598,0.6258,0.93
1.578456,-0.4628,8.9891,0.7399,1.01
1.579334,-0.4148,8.9437,0.7439,1.02
1.594613,-0.252,8.8759,0.7289,0.99
1.599815,-0.0503,8.7891,0.667,0.98
1.61155,0.0753,8.8195,0.5579,0.88
