time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.01237,-0.0984,9.7491,0.0754,0.28
0.031756,-0.0522,9.84,-0.0498,0.35
0.055529,-0.1205,9.9587,-0.0806,0.48
0.05569,-0.2195,9.9946,-0.0544,0.54
0.071693,-0.248,10.0286,-0.1129,0.59
0.071863,-0.1878,9.9825,-0.0924,0.53
0.085275,-0.2116,9.8966,-0.0433,0.45
0.097141,-0.2011,9.7725,0.0126,0.34
0.115759,-0.2136,9.7485,0.0337,0.33
0.117041,-0.1634,9.7215,-0.0092,0.28
0.132542,0.0025,9.6736,-0.0296,0.18
0.137616,0.0035,9.7057,-0.0858,0.22
0.149366,-0.0178,9.7576,-0.1252,0.29
0.164045,-0.02,9.7647,-0.0843,0.28
0.167541,-0.0326,9.7797,-0.0484,0.29
0.181071,-0.0145,9.8438,-0.0857,0.35
0.187827,0.001,9.8608,-0.0683,0.37
0.197875,0.0334,9.7968,-0.0444,0.3
0.215878,0.0486,9.7749,-0.0285,0.28
0.216917,0.0546,9.7249,-0.0023,0.23
0.229958,0.0407,9.6959,0.0429,0.2
0.237363,0.0099,9.66,0.0002,0.16
0.247294,-0.0031,9.643,-0.0038,0.14
0.266711,-0.0458,9.6671,0.0068,0.17
0.266908,-0.0136,9.753,-0.0346,0.26
0.283508,-0.0046,9.813,-0.0692,0.32
0.287764,-0.0295,9.8351,-0.1024,0.35
0.29865,-0.0399,9.8731,-0.0868,0.39
0.314914,-0.013,9.8901,-0.1168,0.41
0.316965,-0.0127,9.9261,-0.1644,0.46
0.334253,-0.0306,9.9192,-0.1748,0.46
0.337469,-0.1094,9.8301,-0.2036,0.4
0.348175,-0.0629,9.8042,-0.1655,0.35
0.36751,-0.0383,9.7652,-0.1764,0.32
0.36762,-0.0657,9.6982,-0.1694,0.27
0.384824,-0.0957,9.6723,-0.1715,0.26
0.387098,-0.1663,9.6723,-0.1325,0.27
0.40156,-0.2284,9.7253,-0.0933,0.33
0.40739,-0.2267,9.7994,-0.113,0.39
0.417857,-0.2262,9.8134,-0.1405,0.41
0.431948,-0.2296,9.8235,-0.1955,0.44
0.436829,-0.1677,9.8115,-0.2479,0.43
0.451272,-0.0792,9.8015,-0.2269,0.39
0.457037,-0.0373,9.7996,-0.1822,0.35
0.467451,-0.0244,9.7495,-0.1965,0.32
0.485144,-0.0563,9.7975,-0.2455,0.39
0.486682,-0.1147,9.7615,-0.2671,0.39
0.499966,-0.1366,9.7135,-0.2149,0.33
0.506731,-0.124,9.7157,-0.2081,0.32
0.51731,-0.1041,9.7416,-0.2201,0.34
0.532191,-0.0874,9.7976,-0.2441,0.39
0.536888,-0.0899,9.8568,-0.299,0.47
0.553794,-0.0306,9.9478,-0.3586,0.57
0.556887,-0.0721,9.9771,-0.3889,0.62
0.568759,0.032,9.8742,-0.2974,0.48
0.587145,0.0757,9.9224,-0.2357,0.49
0.587244,0.076,9.9397,-0.184,0.48
0.598732,0.0568,9.9301,-0.1911,0.47
0.606303,0.042,9.8855,-0.2633,0.47
0.616328,-0.0013,9.844899999999999,-0.2895,0.45
0.632851,-0.0134,9.7714,-0.2343,0.36
0.636483,-0.0272,9.762,-0.2061,0.33
0.649728,-0.0315,9.8016,-0.2406,0.39
0.656586,-0.0055,9.8345,-0.2308,0.41
0.666801,0.1049,9.882,-0.2417,0.46
0.684356,0.1598,9.9418,-0.2634,0.54
0.686214,0.1662,9.9336,-0.2822,0.54
0.701121,0.21,9.8735,-0.1989,0.47
0.706234,0.2096,9.8414,-0.1351,0.42
0.717476,0.1821,9.8402,-0.0156,0.39
0.733618,0.0609,9.8362,-0.0321,0.34
0.742067,-0.0299,9.81,-0.0038,0.31
0.742193,-0.1229,9.7661,0.2092,0.36
0.752483,-0.1845,9.7057,0.3925,0.48
0.76845,-0.2164,9.6622,0.4213,0.5
0.772042,-0.2119,9.7254,0.379,0.49
0.783934,-0.1822,9.8194,0.2543,0.45
0.792054,-0.1168,9.8204,0.2196,0.41
0.8027,-0.0434,9.8126,0.2874,0.43
0.817934,0.0573,9.742,0.3932,0.47
0.822282,0.1551,9.5758,0.5812,0.61
0.835377,0.2138,9.3892,0.7438,0.78
0.85191,0.1485,9.3071,0.7239,0.76
0.85708,0.0895,9.2582,0.6447,0.69
0.868021,0.1082,9.259,0.5614,0.62
0.876921,0.1373,9.3916,0.3931,0.43
0.888008,0.1509,9.6258,0.2064,0.28
0.902925,0.1886,9.8197,0.1,0.38
0.906244,0.2335,9.8727,0.1052,0.45
0.921084,0.1923,9.7987,0.1158,0.37
0.926448,0.1094,9.7315,0.1224,0.28
0.937147,0.016,9.7074,0.1974,0.29
0.958254,-0.0636,9.6884,0.1937,0.28
0.958857,-0.0716,9.7093,0.1731,0.28
0.969992,-0.0161,9.7212,0.1627,0.28
0.976156,0.0421,9.728,0.2197,0.32
0.98678,0.1347,9.6881,0.267,0.35
1.00522,0.2112,9.6492,0.3526,0.44
1.005838,0.2008,9.6284,0.4412,0.5
1.018935,0.1478,9.6424,0.4857,0.53
1.026295,0.1039,9.6663,0.4851,0.52
1.036635,0.0409,9.7069,0.3333,0.39
1.053038,0.0218,9.7975,0.1997,0.36
1.056461,-0.0427,9.8611,0.1334,0.39
1.072831,-0.1227,9.8517,0.1227,0.39
1.076475,-0.1258,9.7933,0.1791,0.37
1.088459,-0.0938,9.7499,0.2261,0.35
1.106261,-0.0844,9.7017,0.2178,0.31
1.106404,0.0083,9.6804,0.1715,0.25
1.123147,0.0491,9.6702,0.1608,0.24
1.125859,0.087,9.697,0.1873,0.29
1.139831,0.1418,9.7109,0.2645,0.37
1.145838,0.1146,9.7329,0.3541,0.44
1.156453,0.0627,9.7208,0.4411,0.5
1.173144,0.0404,9.7636,0.4893,0.56
1.175901,0.0163,9.7943,0.4477,0.54
1.187405,-0.0195,9.7748,0.3677,0.46
1.195897,-0.0023,9.6924,0.2971,0.35
1.206441,0.0266,9.6609,0.1697,0.24
1.223645,0.0145,9.6274,0.1141,0.17
1.225655,0.0105,9.5881,0.1671,0.19
1.240217,-0.0064,9.5549,0.2443,0.25
1.245757,-0.0872,9.5396,0.2815,0.3
1.255849,-0.0851,9.5323,0.2349,0.25
1.272556,0.0002,9.5419,0.2512,0.25
1.276012,0.1157,9.5313,0.2369,0.27
1.288805,0.2304,9.5336,0.2156,0.32
1.296552,0.2401,9.5519,0.182,0.31
1.307704,0.2265,9.6351,0.1607,0.31
1.324065,0.1616,9.6793,0.14,0.28
1.325273,0.1512,9.6976,0.1299,0.28
1.340238,0.0806,9.7498,0.1296,0.29
1.345893,0.0536,9.7581,0.1774,0.32
1.355632,0.014,9.7124,0.2071,0.3
1.373036,0.0761,9.6756,0.2889,0.35
1.376008,0.2117,9.6969,0.3683,0.47
1.389147,0.2355,9.7699,0.3914,0.53
1.395914,0.1056,9.9129,0.4106,0.59
1.409028,0.0222,10.0149,0.4366,0.68
1.425221,-0.0287,10.0418,0.3425,0.64
1.425447,0.006,9.9981,0.0881,0.51
1.443198,0.0896,9.9664,-0.0372,0.48
1.445536,0.1215,9.9469,0.0489,0.47
1.456449,0.1466,9.9007,0.0151,0.43
1.473279,0.1894,9.8054,0.0748,0.37
1.475242,0.1615,9.7953,0.1761,0.38
1.490505,-0.0198,9.917,0.127,0.44
1.495912,-0.1992,10.0267,0.0325,0.56
1.506854,-0.3175,10.1464,-0.0944,0.73
1.524171,-0.3646,10.1413,-0.2582,0.78
1.525358,-0.3642,10.0482,-0.2987,0.72
1.542011,-0.3995,9.9782,-0.2301,0.66
1.545598,-0.4051,9.8833,-0.2483,0.61
1.557348,-0.3507,9.7533,-0.3273,0.54
1.565897,-0.2275,9.6962,-0.3344,0.45
1.576176,-0.0654,9.7155,-0.4164,0.47
1.59264,-0.0145,9.7035,-0.4346,0.48
1.595375,0.0674,9.7395,-0.3509,0.43
1.609313,0.174,9.8445,-0.3196,0.5
1.615456,0.1853,9.9766,-0.3919,0.64
1.625564,0.2733,9.9046,-0.4674,0.68
1.641349,0.189,9.7518,-0.4174,0.52
1.645436,0.0383,9.63,-0.3539,0.38
1.659915,-0.0042,9.5871,-0.2494,0.26
1.665928,0.0077,9.5702,-0.2273,0.24
1.675002,-0.0446,9.6491,-0.2158,0.27
1.690396,-0.066,9.7184,-0.1861,0.29
1.695239,-0.0101,9.7664,-0.1493,0.31
1.710385,-0.0782,9.8195,-0.1996,0.38
1.715084,-0.1053,9.788499999999999,-0.3702,0.48
1.726116,-0.0543,9.7936,-0.4807,0.57
1.742388,0.0981,9.8128,-0.5236,0.62
1.744801,0.207,9.8683,-0.4754,0.64
1.7584,-0.0019,10.0337,-0.3575,0.64
1.764853,0.0956,10.075,-0.2923,0.65
1.775482,0.2012,9.9332,-0.1892,0.51
1.794259,0.0407,9.8286,0.0622,0.34
1.795043,-0.0368,9.8479,0.2419,0.43
1.809482,-0.0833,9.8703,0.2495,0.45
1.815319,-0.116,9.7867,0.0608,0.32
1.824872,-0.1178,9.8007,-0.0555,0.33
1.84352,0.0743,9.7897,-0.0421,0.3
1.845134,0.0375,9.7263,-0.1324,0.26
1.858362,-0.1684,9.7292,-0.1232,0.31
1.865594,-0.201,9.7727,-0.0201,0.34
1.875971,-0.2763,9.8452,0.0866,0.45
1.895416,-0.3221,9.9244,0.1077,0.54
1.895561,-0.2279,9.9484,0.0275,0.5
1.911927,-0.257,9.9916,0.0154,0.55
1.91515,-0.2722,9.9551,0.0446,0.53
1.927414,-0.2428,9.9118,0.0613,0.48
1.935123,-0.3224,9.9024,0.0519,0.52
1.957451,-0.3278,9.9039,0.0637,0.52
1.957652,-0.1472,9.8775,-0.0429,0.41
1.965346,0.0797,9.8654,-0.1077,0.39
1.9778,0.1452,9.9025,-0.1463,0.45
1.985129,0.1673,9.9004,-0.1724,0.47
1.994765,0.2311,9.8899,-0.1585,0.48
2.010553,0.2792,9.8827,-0.0422,0.48
2.014698,0.2796,9.8555,0.0864,0.46
2.027381,-0.0679,9.8791,0.1656,0.42
2.034711,-1.8066,10.3572,0.5243,2.07
2.045453,-0.4396,9.7385,-0.1137,0.51
2.062385,0.6558,9.3545,-0.7346,1.0
2.064418,0.7893,9.3896,-0.8178,1.14
2.080244,0.3175,9.6842,-0.5144,0.63
2.085231,-0.0126,9.883,-0.3231,0.5
2.097922,-0.0435,9.9378,-0.2873,0.53
2.114468,-0.1041,9.8965,-0.2839,0.5
