time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.010239,0.337,9.8961,0.169,0.55
0.027421,0.2293,9.8055,0.0486,0.39
0.055151,0.0307,9.7429,-0.1589,0.29
0.055343,-0.0255,9.8127,-0.1298,0.34
0.069402,-0.0549,9.8808,-0.0232,0.39
0.070709,-0.0549,9.983,0.0995,0.5
0.081326,-0.0177,10.0634,0.157,0.59
0.101714,-0.0008,10.1008,0.189,0.63
0.101895,0.0073,10.1262,0.2622,0.68
0.1147,-0.0105,10.0968,0.2734,0.66
0.120922,-0.0465,10.0267,0.2267,0.58
0.133306,-0.1114,9.9279,0.1656,0.47
0.149662,-0.1612,9.8393,0.141,0.4
0.150592,-0.1878,9.8421,0.2218,0.45
0.166382,-0.1912,9.8669,0.2675,0.49
0.174223,-0.2013,9.9247,0.3613,0.59
0.184393,-0.2305,9.9672,0.35,0.63
0.19886,-0.2055,9.9794,0.2634,0.58
0.200245,-0.1778,9.9215,0.1876,0.49
0.21751,-0.1012,9.8185,0.0915,0.35
0.22055,-0.0455,9.6956,0.0059,0.2
0.231678,-0.0233,9.607,-0.0101,0.11
0.250477,-0.049,9.4999,0.0189,0.05
0.250638,-0.08,9.4472,0.1159,0.15
0.265842,-0.1539,9.4107,0.2172,0.28
0.270363,-0.2881,9.4127,0.3953,0.5
0.282507,-0.4162,9.4187,0.5969,0.73
0.290386,-0.5024,9.4129,0.7111,0.88
0.300344,-0.5965,9.4669,0.766,0.97
0.315435,-0.659,9.5641,0.7483,1.0
0.320151,-0.5826,9.7297,0.7084,0.95
0.333533,-0.4211,9.9198,0.7734,0.98
0.340245,-0.2142,10.0467,0.8362,1.02
0.350964,-0.1341,10.1274,0.739,0.98
0.36749,-0.0503,10.1099,0.6683,0.91
0.370182,0.0816,10.1409,0.6569,0.92
0.384727,0.1277,10.1129,0.617,0.88
0.390397,0.0621,10.0312,0.5921,0.8
0.4024,-0.0314,9.9334,0.5242,0.68
0.418177,-0.1914,9.8409,0.4435,0.59
0.420327,-0.4807,9.7544,0.3213,0.63
0.435113,-0.7045,9.6791,0.2352,0.76
0.440687,-0.8708,9.6097,0.2033,0.9
0.451838,-0.9316,9.5414,0.167,0.95
0.468412,-0.8874,9.4681,0.0764,0.89
0.470309,-0.8402,9.4418,0.0053,0.84
0.483965,-0.7064,9.3992,-0.0314,0.71
0.490705,-0.5332,9.3989,0.0104,0.54
0.502218,-0.3345,9.3912,0.146,0.38
0.517985,-0.1712,9.3854,0.2899,0.36
0.520209,-0.0577,9.4063,0.3585,0.37
0.536297,-0.0146,9.4484,0.4164,0.42
0.540468,-0.0618,9.4593,0.382,0.39
0.551697,-0.1282,9.4431,0.3113,0.34
0.569422,-0.1213,9.3918,0.3352,0.37
0.570302,-0.1084,9.3643,0.3497,0.39
0.585444,-0.1155,9.3198,0.3244,0.39
0.590441,-0.0697,9.2533,0.2417,0.35
0.60218,0.0182,9.1799,0.1309,0.35
0.619139,0.0783,9.0276,0.0378,0.48
0.620462,0.0835,8.7655,-0.0586,0.74
0.63682,0.144,8.4606,-0.1543,1.06
0.640394,0.2174,8.1941,-0.2428,1.35
0.652704,0.244,7.9211,-0.2976,1.63
