time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.033697,0.1704,9.8282,0.1403,0.4
0.049973,0.1384,9.9187,0.1298,0.46
0.063397,0.1512,9.9183,0.1449,0.47
0.072512,0.1343,9.8702,0.2271,0.45
0.083778,0.195,9.844,0.249,0.47
0.100361,0.1591,9.8479,0.2392,0.45
0.101029,0.0447,9.8748,0.2374,0.45
0.1193,-0.0711,9.8959,0.2711,0.49
0.121044,-0.1737,9.8992,0.2886,0.52
0.133735,-0.2667,9.9036,0.3189,0.58
0.149428,-0.3129,9.897,0.3922,0.64
0.151162,-0.3702,9.8904,0.3773,0.66
0.167467,-0.3603,9.8688,0.3212,0.61
0.171014,-0.3323,9.8719,0.2525,0.56
0.184301,-0.2407,9.9029,0.1954,0.51
0.202957,-0.1583,9.913,0.1942,0.48
0.203183,-0.0709,9.975,0.1826,0.51
0.218584,-0.0764,10.0513,0.2201,0.6
0.221238,-0.1641,10.0425,0.2095,0.6
0.255004,-0.2112,10.0208,0.1688,0.59
0.271167,-0.3887,9.9115,0.0596,0.57
0.284708,-0.4905,9.8883,0.0723,0.63
0.2909,-0.4996,9.8889,0.1162,0.64
0.303533,-0.5428,9.8827,0.1086,0.67
0.320932,-0.5728,9.8386,0.1043,0.67
0.321178,-0.5748,9.8198,0.217,0.69
0.33494,-0.5894,9.7811,0.3036,0.72
0.340827,-0.5841,9.7515,0.3557,0.73
0.352055,-0.5797,9.7086,0.3972,0.73
0.368401,-0.5488,9.6907,0.3675,0.69
0.371125,-0.5744,9.7133,0.3519,0.71
0.385276,-0.5551,9.7498,0.3397,0.7
0.391166,-0.4619,9.7659,0.2921,0.61
0.402552,-0.4291,9.7974,0.2598,0.58
0.423113,-0.4182,9.8846,0.2489,0.62
0.4233,-0.3066,9.9502,0.265,0.61
0.437346,-0.2891,9.9775,0.1757,0.59
0.440913,-0.1917,9.9977,0.1213,0.55
0.455921,-0.0611,10.0457,0.1064,0.56
0.473413,0.0219,10.044,0.0428,0.55
0.473608,0.144,10.0044,0.0219,0.53
0.490201,0.2911,10.031,0.1639,0.63
0.505467,0.3925,10.0323,0.3002,0.73
0.524344,0.4468,10.0464,0.3402,0.78
0.542225,0.299,10.1456,0.127,0.72
0.55628,0.2143,10.1591,0.0144,0.69
0.574313,0.0687,10.2144,-0.0308,0.72
0.591057,-0.1707,10.1235,-0.1461,0.66
0.607357,-0.2947,10.133,-0.141,0.71
0.62279,-0.5597,10.1829,-0.0723,0.89
0.637262,-0.6811,10.2563,-0.0115,1.02
0.637634,-0.7268,10.323,0.1083,1.1
0.651746,-0.7156,10.3676,0.2687,1.16
0.664855,-0.5948,10.3595,0.4086,1.12
0.674835,-0.2989,10.2602,0.546,0.98
0.687506,-0.1286,10.1971,0.4308,0.83
0.706587,0.0541,10.116,0.2907,0.68
0.70697,0.1684,10.0432,0.2876,0.64
0.721639,0.2677,10.012599999999999,0.3742,0.69
0.724627,0.2862,9.9642,0.4672,0.72
0.742569,0.2266,9.9789,0.4945,0.72
0.744632,0.1576,9.9816,0.5208,0.73
0.754955,0.1526,9.8984,0.5094,0.66
0.775729,0.0603,9.8013,0.4607,0.55
0.775857,-0.1031,9.7394,0.4086,0.48
0.789216,-0.3042,9.7088,0.431,0.57
0.794567,-0.5188,9.7034,0.4553,0.72
0.80633,-0.7099,9.6573,0.4952,0.88
0.823719,-0.9022,9.6135,0.5533,1.06
0.824448,-1.0184,9.6058,0.5741,1.17
0.84142,-1.0273,9.5641,0.6226,1.2
0.844519,-1.0449,9.5751,0.6786,1.25
0.857319,-1.0039,9.5748,0.7656,1.26
0.874856,-0.9475,9.6089,0.8059,1.25
0.875089,-0.8757,9.6253,0.9136,1.27
0.89157,-0.7926,9.677,1.0051,1.29
0.894611,-0.741,9.769,1.0216,1.29
