time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.017014,0.137,9.9065,0.2351,0.49
0.017134,0.1654,9.893,0.1672,0.46
0.027674,0.1287,9.8664,0.0911,0.4
0.029063,0.0113,9.848,0.0287,0.35
0.051626,-0.0827,9.8448,0.0965,0.37
0.05185,-0.1285,9.8188,0.1566,0.38
0.069069,-0.1822,9.8178,0.1183,0.39
0.069234,-0.2081,9.832699999999999,0.0717,0.4
0.087874,-0.1538,9.8764,0.0278,0.41
0.098987,-0.11,9.9162,0.0357,0.43
0.099159,-0.0468,9.9529,0.0441,0.46
0.113888,-0.009,9.9698,0.0577,0.47
0.11924,-0.0314,9.9686,0.0189,0.47
0.132634,-0.0331,9.9216,0.0044,0.42
0.147479,-0.0898,9.9328,-0.0291,0.44
0.14883,-0.1159,9.922,-0.0013,0.44
0.16359,-0.1265,9.9083,0.0284,0.43
0.168961,-0.1657,9.9126,-0.0079,0.44
0.181013,-0.1856,9.9019,-0.0375,0.44
0.189106,-0.1767,9.917,-0.0877,0.46
0.199154,-0.1584,9.9163,-0.1315,0.46
0.214758,-0.0745,9.9574,-0.1331,0.48
0.219202,0.041,9.9945,-0.0532,0.5
0.233043,0.117,9.9784,0.0483,0.49
0.239186,0.1533,9.9794,0.0428,0.51
0.249655,0.1432,9.9475,0.0146,0.47
0.266383,0.1236,9.9005,-0.0176,0.42
0.269161,0.062,9.8776,-0.039,0.38
0.283361,-0.0386,9.8169,0.0035,0.32
0.289477,-0.1158,9.7703,0.0161,0.29
0.298888,-0.2037,9.7787,-0.0008,0.35
0.316566,-0.2093,9.7848,0.0054,0.35
0.318887,-0.1791,9.8118,0.0086,0.36
0.332839,-0.1274,9.8605,0.0482,0.39
0.340506,-0.0904,9.8762,0.0943,0.4
0.349557,-0.049,9.8618,0.1092,0.38
0.367235,-0.0218,9.8773,0.1184,0.4
0.368657,-0.0402,9.8898,0.07,0.4
0.383449,-0.0837,9.8393,0.0243,0.35
0.38915,-0.1947,9.747,0.0298,0.32
0.401603,-0.2924,9.717,0.0607,0.37
0.416904,-0.4095,9.7099,0.0556,0.46
0.418387,-0.6418,9.7231,0.0435,0.68
0.433428,-0.7531,9.7225,0.1088,0.79
0.438474,-0.7873,9.8095,0.1966,0.87
0.449546,-0.6475,9.856,0.2821,0.79
0.467133,-0.4078,9.935,0.3301,0.68
0.469174,-0.1892,9.9534,0.3681,0.61
0.484394,0.0479,9.9816,0.3602,0.6
0.488418,0.2191,10.0187,0.3389,0.66
0.500238,0.3805,10.0519,0.4021,0.78
0.517143,0.5409,10.0889,0.4675,0.93
