time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011559,-0.3118,9.4365,-0.0878,0.33
0.025366,-0.6027,9.4009,-0.1629,0.63
0.039216,-0.7851,9.3897,-0.2643,0.84
0.05067,-0.9289,9.5211,-0.1772,0.95
0.051555,-1.0096,9.6498,-0.0723,1.02
0.064617,-0.9241,9.795,0.019,0.97
0.071003,-0.9136,9.9127,-0.0013,1.0
0.082303,-0.6645,10.0522,0.0129,0.86
0.097893,-0.2864,10.2809,0.1219,0.84
0.100865,-0.0819,10.4898,0.263,1.03
0.113471,0.1381,10.5267,0.3636,1.1
0.121324,0.3925,10.4143,0.4618,1.1
0.132216,0.6228,10.2471,0.4948,1.09
0.146003,0.7531,10.1164,0.4677,1.08
0.150674,0.8192,9.9727,0.4497,1.05
0.164861,0.8525,9.8269,0.4994,1.04
0.170638,0.7805,9.6158,0.5704,0.97
0.181911,0.7938,9.571,0.5918,0.99
0.19786,0.5736,9.4946,0.6658,0.88
0.200887,0.1633,9.2996,0.729,0.77
0.216127,0.0039,9.2456,0.8002,0.84
0.220897,-0.1316,9.2486,0.782,0.83
0.232622,-0.2738,9.3116,0.7105,0.78
0.249222,-0.3753,9.4253,0.6439,0.75
0.250701,-0.3785,9.5709,0.5571,0.68
0.265848,-0.3896,9.6709,0.5254,0.68
0.27051,-0.3547,9.7338,0.4695,0.63
0.281637,-0.3091,9.7737,0.5212,0.66
0.299324,-0.2267,9.7897,0.5666,0.68
0.300369,-0.1178,9.7959,0.6757,0.75
0.316253,0.152,9.8431,0.8336,0.91
0.320986,0.3888,9.8472,0.9926,1.12
0.332908,0.5567,9.8142,1.0288,1.21
0.350225,0.6352,9.6959,0.9743,1.18
0.350611,0.6252,9.6066,0.8869,1.09
0.366843,0.5928,9.6054,0.8681,1.06
0.370435,0.5166,9.6157,0.8995,1.04
0.381903,0.4233,9.6181,0.872,0.98
0.400605,0.2876,9.601,0.8646,0.92
0.400782,0.1294,9.5966,0.8373,0.85
0.416914,0.0159,9.5976,0.8428,0.85
0.421615,-0.0741,9.5848,0.8431,0.85
0.431929,-0.0956,9.5721,0.8885,0.9
0.440599,-0.1035,9.5582,0.9138,0.92
0.452195,-0.0333,9.5501,0.9129,0.91
0.468077,0.0437,9.5117,0.9271,0.93
0.470282,0.1454,9.486,0.9726,0.98
0.484836,0.2129,9.5198,0.9996,1.02
0.490302,0.2452,9.5664,1.0372,1.07
0.500325,0.2328,9.6167,1.0606,1.09
0.518139,0.2445,9.692,0.9834,1.03
0.520463,0.1498,9.7493,0.9118,0.96
0.534967,0.0045,9.7488,0.8516,0.89
0.540579,-0.1317,9.7536,0.8443,0.89
0.552388,-0.3387,9.7984,0.9131,1.02
0.568496,-0.6287,9.935,1.0376,1.29
0.570227,-0.9029,10.1589,1.2003,1.64
0.585046,-1.0471,10.312100000000001,1.3559,1.9
0.590815,-1.1839,10.5306,1.5009,2.17
0.601853,-1.2481,10.7711,1.5712,2.38
0.620298,-1.1504,10.9732,1.5608,2.44
0.620548,-0.9594,11.1027,1.4952,2.39
0.636116,-0.8027,11.111,1.4651,2.32
0.640163,-0.6692,11.0745,1.4294,2.23
0.652434,-0.5923,10.9875,1.4491,2.16
0.666327,-0.601,10.8173,1.4997,2.08
